Segment,RMSE,Pearson_r,MAE,R2,Max_Error,MAPE
S1,5.280953833173748,-0.7159996746558015,4.4184275,-0.6584925366262226,8.916636,1.6720781913916827
S2,4.085736711352686,0.5834026200529705,3.1563109333333337,-0.335548594532574,7.1690953,0.4027668696907969
S3,3.9213293256249955,-0.3046003885840751,3.1799638,-1.030018161576284,7.1085400000000005,0.34912644689906097
S4,4.186766553073095,-0.697937804673032,3.6998026999999998,-0.2591426264890886,5.608061999999999,1.0764903013533251
S5,4.611574860794487,0.6053188817875446,3.7569053999999995,-0.3061921708181141,7.7994604,5854274491855158.0
S6,5.5283427225179524,0.6512884741959893,4.999325916666667,-1.2826818200709948,7.793195,5849571683004271.0
S7,6.76734528087845,0.13266763449455285,6.1180181666666655,-4.3933417430161334,9.405707,7059923090059347.0
S8,4.75389241457651,0.5307445247831387,3.83035205,-0.879766528539661,7.0776143,5312456854025350.0
S9,3.9041292259613374,0.5759192211233247,3.739486450000001,-0.24683610277033563,5.315661,3989934816471314.5
S10,3.943618067450472,-0.13999791522407395,3.7755275000000004,-0.1613525371386768,5.7237983,7137026967479741.0
S11,4.466536751298241,-0.47165339769130016,4.1977947,-0.4897596295818676,5.917878,8843164345273301.0
S12,5.389470571270574,-0.8900186866115973,5.1611515,-0.9972307842258699,6.9866166,1.4494227714982224e+16
S13,5.897948488152857,-0.005893038287698945,5.564470716666666,-2.210584974440623,7.52577,2.052554111010911e+16
S14,6.238053318854685,0.46150780273924874,6.045654,-12.59944793242852,7.5297155,2.1296289252017124e+16
S15,3.6213898309742985,0.7994338245540349,3.146650766666667,-0.9248235285544113,5.524975,1.2880522065820826e+16
S16,3.1723189226868667,0.8801488656474012,2.720366933333333,-0.32010590475345313,4.9675336,9463370812557190.0
S17,2.3778697692212196,0.9512845839667148,1.9228593333333335,0.5412671511560129,3.5167140000000003,4729363650550697.0
S18,2.6302046396643335,0.6819850526572775,2.19715475,0.19195628930137165,4.871283,1851116056037970.8
S19,3.2843294584183584,0.10411419633980973,2.8014912666666674,-1.9347454632077277,5.917853000000001,0.4399326787615802
S20,2.5788748489255737,-0.5741065375985942,2.110549383333334,-0.6466398728414879,5.232992,0.35478075591656677
S21,2.3552664578172524,-0.40663399116605636,1.8625048,-0.3086637165365982,4.796264000000001,0.3277343379571485
S22,2.7136818682698824,-0.6053473853901178,1.8247567666666666,-0.6769339879711673,6.208844300000001,0.28285852159448266
S23,3.5246896928865383,0.6011009356280735,3.488637733333334,-30.385526141828887,4.2607267,0.8295268879599574
S24,1.7252714899809158,0.486825230856712,1.5089605666666668,-2.369692506574682,2.8247983999999997,0.37305693454430383
S25,1.1760100557743953,0.6979171337686128,1.0883795,-0.3887862607020889,1.9600622999999997,0.2544559142498419
S26,0.8777712353170605,0.7029183648494857,0.6609544833333332,0.3319517269797355,1.7652799999999997,0.12256178239321985
S27,1.7187857975642995,0.6037860790136286,1.4161029833333334,-0.1069118052114364,3.470053000000001,0.22528563545986044
S28,1.9892204961522195,0.14874957715898832,1.7822454499999998,-0.26019050392104504,3.5950760000000006,0.3045657604872604
S29,2.249463211786494,-0.15124192690191135,1.9939465499999998,-1.234307011928236,3.8672736000000008,0.31635579499434496
S30,2.6342479912236234,0.31509278510042216,1.9549489833333336,-0.16208517120326071,4.854857700000001,0.26459551726069414
S31,4.246593221750107,0.8745147916636439,3.3517040666666666,-0.3582892787607801,8.005627999999998,0.3425202396798937
S32,4.2479223670550335,0.3440719627230004,3.3742208666666667,-0.4437158852230241,8.173865,0.36564859045602655
S33,4.339008549933786,-0.7756582813775802,3.8905953333333336,-0.1483570713311293,7.1705252999999995,0.6276889451791475
S34,5.777692271259397,-0.5903956066601055,5.090164016666667,-0.4059410914518,9.589063,5022430067042273.0
S35,5.8407532007938014,-0.6681055743094614,5.4573254166666665,-0.07469488457155449,8.4160325,1.0287445026812982e+16
S36,6.447740015300934,0.8703285595127537,5.711677266666666,-0.3240740730378424,8.900729,1.8705367485670956e+16
S37,8.877065239978254,0.90564218689616,8.568475166666666,-5.565641413381516,11.070916,3.0049379052703228e+16
S38,9.117850749725983,0.6050716957006143,8.405578666666665,-0.09848938444209909,15.759721,2.292076781172717e+16
S39,13.890816687355253,0.7411864892733725,11.147432366666665,-0.009993599069078707,26.8972827,1.6856819532260496e+16
S40,14.196043792182154,0.4810870228500332,10.71835525,-0.0548670381968126,28.0755397,1.3429287331735784e+16
S41,14.863784625809492,-0.05719966053911813,11.146513050000001,-0.15643670830229883,28.9002033,1.3433809996601576e+16
S42,15.11507759645258,-0.32213851237278385,10.490218383333332,-0.2902860277775179,29.946540000000002,9278066002529376.0
S43,15.651783068071632,-0.5723965667849779,11.256658983333336,-0.5823967494404703,30.422790000000003,6607501154232904.0
S44,15.057074782027707,0.6815968136561726,13.881925,-0.6801761408113931,22.148825,3.238863501815232e+16
S45,23.69155885464051,-0.2714844986568381,22.683094666666666,-30.278832517552704,32.635998,4.7443168773334616e+16
S46,3.49895486187485,0.4281648797059652,2.524603444,0.16629780664758276,7.3391470000000005,88617377906165.73
S47,4.227045731499333,-0.2844606870684826,3.8477381333333334,-0.7506122419516712,5.592821,0.8825772364684559
S48,5.252974522086732,-0.4904287079322832,4.876267333333333,-1.6102285725856587,7.718517,1.1845150502633786
S49,5.748363915342797,0.7140094802528242,5.518321499999999,-1.0924026548155665,7.14734,1.3344313091247202
S50,4.316941380942353,0.8523072097457463,3.827245583333333,0.2344522982407583,6.538452,0.6294011075469079
S51,4.38894566238439,0.9518350190205851,3.529762083333333,0.10220946778905105,6.778988999999999,0.34321766627922834
S52,4.2995359341616215,0.36347104867090224,3.9911059499999992,-0.1422868743036283,7.0216727,0.38141734914020087
S53,7.1067042972944625,0.6834742218525902,6.729113883333333,-4.488374954390877,9.109989599999999,0.4846128424708242
S54,6.000425900115826,-0.17310100671383846,5.8565534999999995,-29.369821822401832,8.389839999999998,0.3912630686475412
S55,4.430008063917981,0.014306175081103321,3.271789,-1.52384157492809,9.431049999999999,0.31292674117844915
S56,5.679786228516396,-0.4627278373514773,4.056259833333333,-1.3451848259510153,10.051836000000002,0.4903661513904607
S57,4.1705724806032975,0.7247414911304825,3.8051875833333333,0.16550416683357383,6.806744999999999,0.36819929029466175
S58,5.067377440759848,0.9305105902770279,4.593948833333333,0.20656151631099495,8.895207,5.35161548455939
S59,7.704892542173752,0.7607380052332647,6.959802750000001,-2.1336098988460717,12.737290999999999,7.804956701138624
S60,7.512461516713701,0.623260336840352,7.221111666666666,-7.9610321062221825,11.477241999999999,7.204660247618448
S61,4.239499244516739,-0.22290952886123114,3.5072983333333334,-2.5026294505131164,8.502573,5.092667943987187
S62,5.085372734786729,0.5381177724484162,4.390528216666667,-2.418257345651494,8.012614999999998,5733610973178905.0
S63,5.31894961514589,-0.22366127837356087,4.286914133333333,-2.0768982819388597,8.108846,1.1560940878823466e+16
S64,4.7916843699281255,-0.9245415646068763,4.2718653,-1.4205476386215472,7.0095806,1.4018641439412406e+16
S65,7.01621000989929,-0.42904290885458457,6.329319666666667,-6.019087866398908,9.526541,1.936566905007736e+16
S66,6.875529279173378,0.45621891583464635,6.343362866666666,-0.6016719558748784,8.701848,1.7597356627148186e+16
S67,7.029675596328082,0.8355550600714876,6.884441516666667,0.2339739731884889,9.68594,1.4442959262244192e+16
S68,6.765070603818712,0.8490687590527519,6.08126115,0.2797799931424174,11.823444,5627323770173144.0
S69,7.037583316092109,0.6826685480083341,5.87990885,0.003714243359688174,12.4368747,3111905301939800.5
S70,7.87172209729296,0.30374779347481035,6.2301441,-1.071970644868958,13.638447600000001,0.5045712912591274
S71,9.305636540622245,-0.6927552634812267,8.297649216666665,-8.712784681399247,15.5054484,0.559371440817857
S72,2.438711920205214,0.8443465252712479,2.1567833333333337,0.523155078238227,3.821173,0.1733847794764564
S73,4.395847809057467,0.6706946085523645,3.9790613333333327,-1.268235699156255,6.197229999999999,0.4590884733251461
S74,2.596527355252019,0.37523023005335987,2.2033522500000005,0.016730047655997837,4.1418870000000005,0.2583893321453023
S75,4.454248229732394,0.6856583963087323,3.3022118333333332,-0.3079378536773607,8.525031999999998,0.26660107652525694
S76,3.8282489608438257,0.21266493233850672,3.1173401666666667,0.04074899761228723,7.212747999999998,0.3134230938687452
S77,5.6895723757888135,-0.23549471689686682,5.389280499999999,-0.914167667246284,6.9235869999999995,0.7382702200439478
S78,5.223713901097239,0.2604994457614092,4.322102083333332,-0.07882921404256216,8.617556999999998,0.4481137408717945
S79,9.374125456807457,0.31823403779161963,7.2396447166666675,-0.7281445081716862,18.2967663,0.4732125986199132
S80,8.75792746585516,0.441192687200054,7.333620499999999,-0.7139421904338696,16.193404,0.4960495672318425
S81,7.7806914165743875,-0.1315667137170242,6.954333000000001,-0.12321601022421791,13.09699,0.761713138297461
S82,8.401098235774644,0.6910266176127995,6.876094500000001,-0.12362213278182699,16.877616,0.5769212148651576
S83,9.707501164957252,-0.797881774657364,7.634758416666667,-0.5938139651474352,18.9846706,0.5432543655270174
S84,9.495318729883806,0.9042827187724046,8.76585425,-0.37053000496350075,11.601717,1.6193461791406276
S85,15.889559180474606,0.6053685631650242,15.516813833333336,-13.19568200504931,19.077131,2.8939940436932154
S86,9.227426156455204,0.43645845931984595,9.008515000000001,-16.442862146599964,12.326222,9252061467681002.0
S87,5.446064671621259,-0.5111229917010662,4.7424985,-5.408656951379402,8.939897,6710286132988436.0
S88,5.479409373092676,-0.2530813471641897,4.675264250000001,-1.6216682225809929,8.927359,6700875110967107.0
S89,6.5910156811849125,-0.06203232288917202,5.678200599999999,-0.03311856406994207,11.502308,5945308153042999.0
S90,7.18483156448391,0.7902659780956114,6.141083083333332,0.05075955890397421,12.153093199999999,4308423377319451.5
S91,7.590596000510588,0.9705261838230376,7.112377333333335,0.10680320933804266,9.982733999999999,5281528909004339.0
S92,8.298189919553371,0.7271199270246516,7.132121866666666,-0.8075060619733267,12.778572999999998,0.5065499485723907
S93,9.962056807230644,-0.4638498430391117,9.075059033333334,-1.2550432863719392,14.563610999999998,1.9542116552957782
S94,7.923373384451729,-0.8110540634952438,7.21664225,-0.07413902913376358,10.203455,2.5279833879659592
S95,12.72512438868789,0.5568092942471969,10.622107333333336,-1.7958257430147264,19.206407000000002,5.804212992227112
S96,13.916020588061794,0.24727886497068086,12.391067000000001,-3.0732446681769554,18.655046000000002,7.856982699892093
S97,14.588256314979159,0.70682959491808,14.342351666666664,-15.762761192900243,17.97531,8.20007399067418
S98,7.0544423964046254,-0.11499112700392923,6.441842749999999,-5.257144701281354,8.908026,4.064825549256773
S99,2.52404310824238,0.4831191036270036,2.167183,0.09747926160250742,3.8600414,0.9113884676885543
S100,3.735727859740154,0.08356668646737213,3.49745785,-1.0141270650793577,5.324327,1.4925069492722216
S101,3.0203227334425495,0.2346745427810404,2.882144416666667,-0.5632358097362686,4.2605875,1.0100075102613608
S102,2.7867230326206114,-0.34195971875901054,2.1645367833333338,-0.7329059032999179,4.528822000000001,0.5134112014683305
S103,3.178514586405361,-0.8366522278277614,2.5951090333333333,-1.2771498818914293,4.851086,0.6607154235096294
S104,5.060820939122068,-0.36522184658365786,4.872601583333333,-23.055014578732834,6.225795000000001,1.3682883562749202
S105,4.45892175560232,-0.047223218928339125,3.99403335,-16.858068762799714,6.413965999999999,1.1333760414306602
S106,5.609296576403122,0.39163154692122276,5.422780966666667,-17.803311602817406,7.784187,1.4548774822787818
S107,4.451550501836017,0.724344728873411,4.3478935000000005,-10.049982455611433,6.004249000000001,1.2009076717974219
S108,2.4785247386348592,0.4208769658001742,1.954535333333333,-2.5686792912844907,5.0754969999999995,0.4995077509282125
S109,1.5661551924094481,0.10675477678694706,1.3321160166666668,-0.5776722372985297,2.2299287000000003,0.3360263780780152
S110,1.3347861003768344,-0.22766996188571623,1.2165565,-0.7372573568616216,2.069007,0.2355967604430668
S111,1.2341539064862224,-0.06571577421166935,1.1385127666666668,-0.5363656804770887,2.0066072000000004,0.252500442496204
S112,1.4468876588231716,-0.12634653692543862,1.1500476833333335,-1.2537506070924862,2.7866767,0.2856693619906349
S113,2.4799192355693886,-0.891452416092068,1.9067022333333332,-0.7992684188386363,5.1443639999999995,2.3507909163072584
S114,3.2550174898023387,-0.7256872568325357,2.5841632999999997,-2.969868848054624,6.2067758,3.0095740468180505
S115,2.574000365616705,0.27824308045667795,1.7301764833333333,-0.5879973619109027,5.235079,2.434733148090109
S116,2.27553549519515,0.6568312504351419,1.751271583333333,-0.016136410118012368,4.663801299999999,2.182968411714317
S117,2.433010784634544,0.7745602609446984,1.9639219999999995,0.14989830376045987,5.005326999999999,2.3388292603255745
S118,2.4903119287728246,0.8453646673550306,2.3423065666666667,0.23679784605621224,3.853863,1.870896125024743
S119,3.9638168805932605,0.9604867486405446,3.684159566666666,-2.0338253243056164,5.784935699999999,0.48292430535810144
S120,3.4720649920283946,0.5303073097594745,3.289199199999999,-6.012255148154612,5.417796299999999,0.40232629275630144
S121,2.4435176467842483,-0.6415600460483868,1.9232756166666658,-2.0168143950211537,4.8078973,0.21852189069408176
S122,2.904030120328007,-0.15592532487468724,2.4896355499999996,-3.104394671242434,5.168530999999999,0.2718565796115027
S123,2.5659424202909413,0.7039555365562367,2.1295306999999997,-0.8349940245641192,4.1983747,0.2101133196599303
S124,2.865868507748628,0.23775333362895934,2.2063760666666665,-0.9951098713454287,4.808422,0.21074657537587657
S125,4.020857564378503,0.21970128294209582,3.248987166666667,-0.15855373511299242,8.244463,6188293415778307.0
S126,4.146676151399985,-0.03016220069735877,3.4528845999999995,-0.02968749565882911,6.6423163,4985722202259495.0
S127,4.111963998092597,0.04869199447745341,3.469065233333333,-0.010922947548574813,6.540554,4909339426199435.0
S128,4.556728629670926,0.5350316758706881,3.6406430000000007,-0.2953970763909888,8.903556,6683008580645391.0
S129,5.017858664578165,-0.02120261839537745,3.8115624999999995,-1.3848051798167753,9.197447,6903603146993315.0
S130,3.8134915680720862,0.3789715527059564,3.29935245,0.04479584405618009,6.1250343,4597450365185251.0
S131,4.474580691469881,0.929243726664125,3.86837115,-0.8626922811688613,6.386847,0.4054177072484861
S132,3.510198899444366,0.4607974309580685,2.8854764166666667,-1.4648470065113117,5.250729000000001,0.2846403481310528
S133,3.5723831020177665,-0.6597107418546153,3.125846833333334,-1.0642934803781219,5.659926700000001,0.3474029298670743
S134,2.6809105827412143,-0.6448520621200855,2.241429166666667,-0.17268915833728293,3.977609000000001,0.285797440260489
S135,2.7810881729084853,-0.3269554782599765,2.2474564666666663,-0.19379287994208716,4.561922400000001,0.268851639451213
S136,3.033151230468927,0.40362559494870276,2.4783471666666665,-0.66390469695165,5.1620159999999995,0.38429100343829975
S137,4.140288052282071,0.10158665281843639,3.638824,-3.5163309836893166,6.301755,0.6433951301475476
S138,2.4287346366476616,0.21650774950281035,2.060888233333333,-0.07418215220331703,4.241006,0.42528864838741587
S139,3.9991314790219175,-0.7745350657326693,3.279014933333334,-0.41489701443562654,7.7764273,5836985848425626.0
S140,6.428596309857049,-0.35391849483636284,5.6705473333333325,-2.389607715628989,10.092683,7575567232994759.0
S141,4.5439956715790055,0.45065219834493586,3.97791325,-0.39625501038720157,7.063252,5110686133159935.0
S142,5.131629847020519,0.24475502909190439,4.349918233333333,-1.4937144779196814,7.9447308,5963314445073153.0
S143,3.2572388207717604,0.5874579017183018,2.5437753,0.09149218505855239,5.3557625,4020034999880814.0
S144,3.2433099428958503,0.5168658302484685,2.5596238999999996,0.10670376985106855,4.8852835,3666893491699873.5
S145,2.8077729738163453,0.3216604024097483,2.278426616666667,-0.15065561163497,5.6306747999999995,0.8117198289330151
S146,2.8370578087589693,-0.7361989306315135,2.2656381000000008,-4.784793219577739,5.399455,0.3058825958014202
S147,3.256839534553936,0.027969444239014773,3.0900171666666663,-15.978752118186122,4.710774,0.4895840257046065
S148,1.0841216553232114,0.6162531870603885,0.9948437,-0.650214956609463,1.5053412000000002,0.15415061776537473
S149,1.91135257096058,-0.22941050732187368,1.1820924999999998,-0.6366061649904713,4.4218366,0.29339991680661004
S150,2.630579711484538,-0.6906756797826608,1.9951885999999999,-1.0179682970033754,4.5183485999999995,0.5189010655431902
S151,2.7829501193435715,-0.8412003793046197,2.4067429333333337,-0.9936589860790728,3.9818963000000003,0.6289536364165511
S152,2.5043846651323856,0.6673975658489761,2.3388314,0.017663990279708552,3.518214,0.5570112475976022
S153,3.4576836729145715,0.6177321601264801,3.1860433333333336,-0.037985649945351474,5.102956000000001,0.7489346478863745
S154,4.1635438905169275,0.4842076633675797,4.015278583333334,0.03492844936613293,6.020284999999999,0.7065114908125572
S155,4.91266154957205,0.7772018285076753,4.193579716666666,-0.6216525113820697,7.645446999999999,0.43909853027008494
S156,5.468716791691868,0.1346543051942591,4.546203883333333,-1.9003719741342473,8.091441,0.42317871812280217
S157,5.671210577755451,-0.8052333536277738,4.944444,-2.174291750797323,8.976938999999998,0.5118372924340818
S158,3.833234449593412,0.07505055862865996,3.4452630833333333,-0.017392165175676322,5.170059999999999,0.630825996118404
S159,3.533039905314237,0.7290548462718714,2.8219358333333333,-0.031411483225169956,5.954846999999999,0.621882884589582
S160,4.67930418847523,0.00022608770757876615,4.1769845,-0.4889253258875841,6.8351560000000005,0.807056890452493
S161,4.0060876816538435,-0.24377422503013826,3.6035043333333334,-0.05961409715094357,5.833936,0.6429979450981566
S162,4.161901608046781,0.12618073466596325,3.729105666666667,-0.16675329745017442,7.74806,0.5184789567424308
S163,4.587148501136418,-0.08598325479523847,3.8473669333333333,-0.7624698217152421,8.655311000000001,0.4118686842242218
S164,5.1176965374566805,-0.2763344879966813,4.484344983333333,-2.8395139576571222,9.026474499999999,0.3962078313769671
S165,2.7471802357401245,0.9205508859574184,2.4897131666666668,-0.13054249714997468,4.565771,0.23170211651850123
S166,2.854714810566285,0.14414169344895755,2.491575166666667,-0.5796805911479328,4.831556000000001,0.3176112158812552
S167,2.937467240464422,-0.5835901009909256,2.7144516666666667,-0.447770769933165,4.0600439999999995,0.2871566859327747
S168,2.971919016267015,0.22549285632803973,2.8514465,-0.21396951364150163,4.198585,0.2924158784025368
